context,urgency,importance,risk,distance_from_human,distance_from_object,speed,comfort,bumping_human,bumping_object,predictability
An idle robot working in a restaurant goes to recharge its battery. It has 87% battery left.,10,15,10,40,25,20,20,10,15,25
An idle robot working in a restaurant goes to recharge its battery. It has 88% battery left.,10,30,5,65,70,30,75,15,60,40
An idle robot working in a restaurant goes to recharge its battery. It has 89% battery left.,20,5,12,65,65,45,25,5,15,50
An idle robot working in a restaurant goes to recharge its battery. It has 9% battery left.,70,85,35,25,60,75,75,25,20,65
An idle robot working in a restaurant goes to recharge its battery. It has 90% battery left.,20,30,5,50,55,20,75,15,20,20
An idle robot working in a restaurant goes to recharge its battery. It has 91% battery left.,15,20,3,60,90,15,20,20,20,75
An idle robot working in a restaurant goes to recharge its battery. It has 92% battery left.,15,15,5,75,65,15,70,10,10,65
An idle robot working in a restaurant goes to recharge its battery. It has 93% battery left.,15,12,5,75,75,20,75,10,15,40
An idle robot working in a restaurant goes to recharge its battery. It has 94% battery left.,5,15,10,65,85,30,25,10,25,35
An idle robot working in a school explores its environment.,15,20,15,80,50,35,60,5,25,55
An idle robot working in a school goes to recharge its battery. It has 0% battery left.,90,95,30,75,70,95,80,30,80,80
An idle robot working in a school goes to recharge its battery. It has 1% battery left.,95,95,30,75,65,90,75,60,80,85
An idle robot working in a school goes to recharge its battery. It has 10% battery left.,60,80,15,75,60,65,65,45,60,40
An idle robot working in a school goes to recharge its battery. It has 11% battery left.,65,82,15,70,35,45,30,20,5,55
An idle robot working in a school goes to recharge its battery. It has 12% battery left.,65,85,25,60,65,65,30,20,25,60
An idle robot working in a school goes to recharge its battery. It has 13% battery left.,62,90,10,75,60,30,40,25,38,65
An idle robot working in a school goes to recharge its battery. It has 14% battery left.,75,75,20,60,65,30,60,15,40,60
An idle robot working in a school goes to recharge its battery. It has 15% battery left.,45,65,10,70,45,30,40,20,30,30
An idle robot working in a school goes to recharge its battery. It has 16% battery left.,70,75,25,85,50,40,70,5,20,65
An idle robot working in a school goes to recharge its battery. It has 17% battery left.,45,75,12,50,65,40,60,10,10,85
An idle robot working in a school goes to recharge its battery. It has 18% battery left.,35,75,15,65,40,30,65,20,65,65
An idle robot working in a school goes to recharge its battery. It has 19% battery left.,65,70,10,80,15,70,70,10,35,75
An idle robot working in a school goes to recharge its battery. It has 2% battery left.,85,92,25,70,75,80,45,40,75,70
An idle robot working in a school goes to recharge its battery. It has 20% battery left.,25,70,10,60,70,45,55,40,10,75
An idle robot working in a school goes to recharge its battery. It has 21% battery left.,60,40,10,50,60,35,40,15,20,65
An idle robot working in a school goes to recharge its battery. It has 22% battery left.,30,75,10,30,60,35,40,20,15,30
An idle robot working in a school goes to recharge its battery. It has 23% battery left.,30,75,15,30,60,40,45,35,60,70
An idle robot working in a school goes to recharge its battery. It has 24% battery left.,60,65,15,40,75,60,85,20,20,65
An idle robot working in a school goes to recharge its battery. It has 25% battery left.,40,75,5,40,60,35,40,15,10,75
An idle robot working in a school goes to recharge its battery. It has 26% battery left.,35,35,20,70,35,30,40,15,22,65
An idle robot working in a school goes to recharge its battery. It has 27% battery left.,25,85,15,30,55,20,75,10,25,60
An idle robot working in a school goes to recharge its battery. It has 28% battery left.,30,75,25,25,60,35,40,20,20,35
An idle robot working in a school goes to recharge its battery. It has 29% battery left.,30,65,10,75,65,35,20,30,20,45
An idle robot working in a school goes to recharge its battery. It has 3% battery left.,80,95,15,75,20,85,85,20,70,75
An idle robot working in a school goes to recharge its battery. It has 30% battery left.,15,60,10,70,65,45,60,15,20,35
An idle robot working in a school goes to recharge its battery. It has 31% battery left.,45,65,15,50,65,30,40,15,25,45
An idle robot working in a school goes to recharge its battery. It has 32% battery left.,45,45,10,65,70,40,65,20,25,62
An idle robot working in a school goes to recharge its battery. It has 33% battery left.,30,65,5,40,65,30,70,20,10,30
An idle robot working in a school goes to recharge its battery. It has 34% battery left.,20,42,5,75,40,40,20,30,15,20
An idle robot working in a school goes to recharge its battery. It has 35% battery left.,25,40,10,40,70,40,20,40,15,70
An idle robot working in a school goes to recharge its battery. It has 36% battery left.,45,60,10,75,45,53,40,15,20,75
An idle robot working in a school goes to recharge its battery. It has 37% battery left.,20,55,15,75,65,25,45,15,20,50
An idle robot working in a school goes to recharge its battery. It has 38% battery left.,25,60,10,65,65,20,65,5,15,65
An idle robot working in a school goes to recharge its battery. It has 39% battery left.,35,45,20,60,35,35,30,20,10,60
An idle robot working in a school goes to recharge its battery. It has 4% battery left.,75,85,35,75,60,40,75,20,35,75
An idle robot working in a school goes to recharge its battery. It has 40% battery left.,20,20,10,65,65,30,75,10,20,30
An idle robot working in a school goes to recharge its battery. It has 41% battery left.,20,45,15,55,25,24,25,20,25,70
An idle robot working in a school goes to recharge its battery. It has 42% battery left.,15,30,15,60,25,30,70,10,20,65
An idle robot working in a school goes to recharge its battery. It has 43% battery left.,20,25,5,65,50,55,65,25,25,35
An idle robot working in a school goes to recharge its battery. It has 44% battery left.,25,40,5,55,60,25,65,5,10,75
An idle robot working in a school goes to recharge its battery. It has 45% battery left.,30,60,5,75,60,60,70,20,10,30
An idle robot working in a school goes to recharge its battery. It has 46% battery left.,10,30,20,70,50,40,60,5,20,60
An idle robot working in a school goes to recharge its battery. It has 47% battery left.,15,30,10,65,70,35,30,20,5,65
An idle robot working in a school goes to recharge its battery. It has 48% battery left.,35,35,10,65,70,20,70,25,20,30
An idle robot working in a school goes to recharge its battery. It has 49% battery left.,30,30,10,30,70,45,80,5,15,85
An idle robot working in a school goes to recharge its battery. It has 5% battery left.,80,85,15,25,30,85,40,60,70,80
An idle robot working in a school goes to recharge its battery. It has 50% battery left.,10,30,5,30,65,20,80,10,10,70
An idle robot working in a school goes to recharge its battery. It has 51% battery left.,15,30,5,50,75,40,40,15,25,30
An idle robot working in a school goes to recharge its battery. It has 52% battery left.,15,30,5,40,70,40,80,5,10,65
An idle robot working in a school goes to recharge its battery. It has 53% battery left.,20,35,10,70,65,30,30,15,20,40
An idle robot working in a school goes to recharge its battery. It has 54% battery left.,35,30,5,70,60,25,80,15,10,30
An idle robot working in a school goes to recharge its battery. It has 55% battery left.,10,30,5,65,40,30,70,10,20,65
An idle robot working in a school goes to recharge its battery. It has 56% battery left.,25,15,10,35,60,35,30,10,30,60
An idle robot working in a school goes to recharge its battery. It has 57% battery left.,20,25,20,60,30,45,65,10,20,30
An idle robot working in a school goes to recharge its battery. It has 58% battery left.,35,35,5,75,40,30,85,10,20,40
An idle robot working in a school goes to recharge its battery. It has 59% battery left.,35,25,12,70,70,30,20,20,10,30
An idle robot working in a school goes to recharge its battery. It has 6% battery left.,75,90,40,25,30,40,65,30,45,75
An idle robot working in a school goes to recharge its battery. It has 60% battery left.,35,40,5,40,65,20,70,10,15,35
An idle robot working in a school goes to recharge its battery. It has 61% battery left.,15,40,5,30,70,33,30,15,20,70
An idle robot working in a school goes to recharge its battery. It has 62% battery left.,15,25,5,50,75,25,15,10,15,75
An idle robot working in a school goes to recharge its battery. It has 63% battery left.,25,35,5,50,40,30,70,15,15,15
An idle robot working in a school goes to recharge its battery. It has 64% battery left.,25,30,5,60,80,60,70,10,10,35
An idle robot working in a school goes to recharge its battery. It has 65% battery left.,15,15,5,70,60,30,40,15,10,40
An idle robot working in a school goes to recharge its battery. It has 66% battery left.,20,40,20,65,45,35,75,15,15,40
An idle robot working in a school goes to recharge its battery. It has 67% battery left.,5,30,10,60,65,60,30,5,10,30
An idle robot working in a school goes to recharge its battery. It has 68% battery left.,15,30,15,35,65,45,30,12,10,30
An idle robot working in a school goes to recharge its battery. It has 69% battery left.,15,25,10,60,50,25,20,5,15,20
An idle robot working in a school goes to recharge its battery. It has 7% battery left.,80,65,15,70,30,65,20,30,10,60
An idle robot working in a school goes to recharge its battery. It has 70% battery left.,10,30,5,75,85,45,20,10,20,20
An idle robot working in a school goes to recharge its battery. It has 71% battery left.,15,20,10,60,60,35,30,15,15,25
An idle robot working in a school goes to recharge its battery. It has 72% battery left.,15,20,6,60,65,15,75,5,10,20
An idle robot working in a school goes to recharge its battery. It has 73% battery left.,20,20,10,20,65,15,80,10,15,30
An idle robot working in a school goes to recharge its battery. It has 74% battery left.,20,20,5,40,60,15,70,10,8,30
An idle robot working in a school goes to recharge its battery. It has 75% battery left.,30,30,5,65,65,30,20,10,15,40
An idle robot working in a school goes to recharge its battery. It has 76% battery left.,15,35,5,80,80,40,65,15,22,25
An idle robot working in a school goes to recharge its battery. It has 77% battery left.,20,15,8,65,60,45,70,15,20,90
An idle robot working in a school goes to recharge its battery. It has 78% battery left.,20,20,5,60,55,25,25,5,30,30
An idle robot working in a school goes to recharge its battery. It has 79% battery left.,15,20,10,55,70,20,60,20,10,45
An idle robot working in a school goes to recharge its battery. It has 8% battery left.,70,75,15,25,40,45,70,35,35,75
An idle robot working in a school goes to recharge its battery. It has 80% battery left.,15,35,10,70,65,35,65,20,25,55
An idle robot working in a school goes to recharge its battery. It has 81% battery left.,15,20,5,60,20,20,20,10,5,35
An idle robot working in a school goes to recharge its battery. It has 82% battery left.,15,20,10,75,65,35,60,5,15,15
An idle robot working in a school goes to recharge its battery. It has 83% battery left.,15,30,5,45,75,20,20,5,25,40
An idle robot working in a school goes to recharge its battery. It has 84% battery left.,5,20,5,65,60,35,30,5,25,15
An idle robot working in a school goes to recharge its battery. It has 85% battery left.,15,15,10,60,30,40,45,10,20,45
An idle robot working in a school goes to recharge its battery. It has 86% battery left.,10,22,10,70,60,30,75,20,15,20
An idle robot working in a school goes to recharge its battery. It has 87% battery left.,10,30,5,40,50,15,80,11,15,40
An idle robot working in a school goes to recharge its battery. It has 88% battery left.,15,15,5,60,65,20,10,20,15,60
An idle robot working in a school goes to recharge its battery. It has 89% battery left.,15,30,10,75,60,20,65,5,20,25
An idle robot working in a school goes to recharge its battery. It has 9% battery left.,65,80,18,70,65,80,20,35,35,70
An idle robot working in a school goes to recharge its battery. It has 90% battery left.,5,20,5,65,65,35,75,5,5,40
An idle robot working in a school goes to recharge its battery. It has 91% battery left.,10,20,5,70,65,30,80,5,5,30
An idle robot working in a school goes to recharge its battery. It has 92% battery left.,10,15,12,70,80,20,75,15,12,30
An idle robot working in a school goes to recharge its battery. It has 93% battery left.,5,32,2,95,80,20,15,5,10,40
An idle robot working in a school goes to recharge its battery. It has 94% battery left.,5,15,10,70,20,15,75,15,10,45
An idle robot working in a store explores its environment.,20,40,15,20,60,20,30,5,20,30
An idle robot working in a store goes to recharge its battery. It has 0% battery left.,100,100,20,85,75,90,65,5,80,95
An idle robot working in a store goes to recharge its battery. It has 1% battery left.,95,90,35,80,85,80,70,5,75,75
An idle robot working in a store goes to recharge its battery. It has 10% battery left.,65,95,20,85,75,40,25,30,30,70
An idle robot working in a store goes to recharge its battery. It has 11% battery left.,70,85,15,20,55,60,20,20,65,40
An idle robot working in a store goes to recharge its battery. It has 12% battery left.,85,75,15,35,60,40,65,20,30,40
An idle robot working in a store goes to recharge its battery. It has 13% battery left.,45,65,15,65,20,45,65,20,30,40
An idle robot working in a store goes to recharge its battery. It has 14% battery left.,65,70,15,50,65,70,60,40,40,60
An idle robot working in a store goes to recharge its battery. It has 15% battery left.,65,80,10,75,75,45,70,40,30,70
An idle robot working in a store goes to recharge its battery. It has 16% battery left.,65,65,6,50,70,20,65,20,35,60
An idle robot working in a store goes to recharge its battery. It has 17% battery left.,65,85,12,60,65,35,65,25,40,75
An idle robot working in a store goes to recharge its battery. It has 18% battery left.,60,65,10,70,65,55,35,25,65,40
An idle robot working in a store goes to recharge its battery. It has 19% battery left.,40,45,20,60,40,30,65,20,35,65
An idle robot working in a store goes to recharge its battery. It has 2% battery left.,95,95,75,30,25,40,70,25,40,85
An idle robot working in a store goes to recharge its battery. It has 20% battery left.,35,65,5,70,82,15,65,10,10,60
An idle robot working in a store goes to recharge its battery. It has 21% battery left.,50,75,5,30,65,40,70,20,15,65
An idle robot working in a store goes to recharge its battery. It has 22% battery left.,40,40,15,75,65,30,65,30,30,75
An idle robot working in a store goes to recharge its battery. It has 23% battery left.,60,75,10,65,70,35,65,15,35,55
An idle robot working in a store goes to recharge its battery. It has 24% battery left.,40,70,10,75,65,35,70,5,20,30
An idle robot working in a store goes to recharge its battery. It has 25% battery left.,45,60,20,60,70,35,65,25,20,20
An idle robot working in a store goes to recharge its battery. It has 26% battery left.,30,65,20,70,75,40,40,20,10,75
An idle robot working in a store goes to recharge its battery. It has 27% battery left.,40,60,8,60,65,40,70,30,20,65
An idle robot working in a store goes to recharge its battery. It has 28% battery left.,30,70,5,20,70,35,65,70,10,40
An idle robot working in a store goes to recharge its battery. It has 29% battery left.,35,73,5,60,65,35,70,15,15,55
An idle robot working in a store goes to recharge its battery. It has 3% battery left.,85,85,25,30,20,65,35,25,70,85
An idle robot working in a store goes to recharge its battery. It has 30% battery left.,10,65,5,70,80,40,85,20,10,70
An idle robot working in a store goes to recharge its battery. It has 31% battery left.,20,70,10,75,55,45,40,20,15,65
An idle robot working in a store goes to recharge its battery. It has 32% battery left.,40,35,8,70,65,50,70,25,30,40
An idle robot working in a store goes to recharge its battery. It has 33% battery left.,25,20,10,70,75,50,40,15,10,70
An idle robot working in a store goes to recharge its battery. It has 34% battery left.,40,70,5,70,65,40,60,15,5,70
An idle robot working in a store goes to recharge its battery. It has 35% battery left.,20,65,5,20,60,50,80,10,15,30
An idle robot working in a store goes to recharge its battery. It has 36% battery left.,10,35,10,65,70,35,20,10,20,45
An idle robot working in a store goes to recharge its battery. It has 37% battery left.,30,35,5,75,70,30,40,32,20,65
An idle robot working in a store goes to recharge its battery. It has 38% battery left.,30,40,15,65,60,45,45,15,15,30
An idle robot working in a store goes to recharge its battery. It has 39% battery left.,35,25,10,60,70,30,75,10,25,25
An idle robot working in a store goes to recharge its battery. It has 4% battery left.,85,80,15,75,40,85,40,65,60,20
An idle robot working in a store goes to recharge its battery. It has 40% battery left.,30,20,15,70,70,40,60,25,20,30
An idle robot working in a store goes to recharge its battery. It has 41% battery left.,30,40,10,75,25,40,65,20,15,20
An idle robot working in a store goes to recharge its battery. It has 42% battery left.,30,25,10,65,75,40,65,20,30,35
An idle robot working in a store goes to recharge its battery. It has 43% battery left.,20,25,5,75,65,45,70,2,10,20
An idle robot working in a store goes to recharge its battery. It has 44% battery left.,15,40,5,80,70,30,65,40,20,40
An idle robot working in a store goes to recharge its battery. It has 45% battery left.,20,20,15,80,65,30,60,10,20,65
An idle robot working in a store goes to recharge its battery. It has 46% battery left.,30,40,10,75,70,35,70,20,0,35
An idle robot working in a store goes to recharge its battery. It has 47% battery left.,25,30,15,65,85,45,20,10,10,65
An idle robot working in a store goes to recharge its battery. It has 48% battery left.,20,30,15,30,75,20,75,10,10,40
An idle robot working in a store goes to recharge its battery. It has 49% battery left.,20,20,5,25,75,35,65,35,12,60
An idle robot working in a store goes to recharge its battery. It has 5% battery left.,85,70,20,30,65,70,75,20,75,75
An idle robot working in a store goes to recharge its battery. It has 50% battery left.,15,40,15,60,60,40,20,25,35,40
An idle robot working in a store goes to recharge its battery. It has 51% battery left.,25,35,5,25,70,30,75,15,25,40
An idle robot working in a store goes to recharge its battery. It has 52% battery left.,20,30,5,75,30,35,25,10,20,40
An idle robot working in a store goes to recharge its battery. It has 53% battery left.,35,30,10,65,70,40,20,5,25,65
An idle robot working in a store goes to recharge its battery. It has 54% battery left.,35,30,10,70,75,20,30,5,15,30
An idle robot working in a store goes to recharge its battery. It has 55% battery left.,20,15,10,60,65,30,30,20,15,20
An idle robot working in a store goes to recharge its battery. It has 56% battery left.,30,20,10,50,70,35,65,15,15,40
An idle robot working in a store goes to recharge its battery. It has 57% battery left.,25,30,5,80,45,25,30,20,20,40
An idle robot working in a store goes to recharge its battery. It has 58% battery left.,30,20,5,40,75,25,25,20,15,40
An idle robot working in a store goes to recharge its battery. It has 59% battery left.,30,30,5,70,45,40,75,15,20,20
An idle robot working in a store goes to recharge its battery. It has 6% battery left.,65,85,35,60,75,75,70,20,25,85
An idle robot working in a store goes to recharge its battery. It has 60% battery left.,25,20,15,60,70,35,70,20,10,25
An idle robot working in a store goes to recharge its battery. It has 61% battery left.,30,35,5,30,55,30,80,20,20,30
An idle robot working in a store goes to recharge its battery. It has 62% battery left.,15,45,4,75,70,45,20,10,15,30
An idle robot working in a store goes to recharge its battery. It has 63% battery left.,15,20,5,60,40,25,45,20,20,30
An idle robot working in a store goes to recharge its battery. It has 64% battery left.,20,35,10,75,75,35,20,5,35,20
An idle robot working in a store goes to recharge its battery. It has 65% battery left.,20,25,5,45,60,30,30,10,10,20
An idle robot working in a store goes to recharge its battery. It has 66% battery left.,20,25,5,70,65,25,20,10,20,30
An idle robot working in a store goes to recharge its battery. It has 67% battery left.,20,20,5,65,65,15,40,10,20,20
An idle robot working in a store goes to recharge its battery. It has 68% battery left.,20,20,5,80,60,25,30,5,35,25
An idle robot working in a store goes to recharge its battery. It has 69% battery left.,20,30,10,95,80,20,75,10,25,10
An idle robot working in a store goes to recharge its battery. It has 7% battery left.,70,85,20,35,25,15,15,25,65,65
An idle robot working in a store goes to recharge its battery. It has 70% battery left.,15,20,5,80,30,30,25,5,5,20
An idle robot working in a store goes to recharge its battery. It has 71% battery left.,15,30,5,65,45,20,90,20,15,45
An idle robot working in a store goes to recharge its battery. It has 72% battery left.,20,40,10,30,40,35,80,10,20,40
An idle robot working in a store goes to recharge its battery. It has 73% battery left.,15,30,10,50,70,20,65,8,20,25
An idle robot working in a store goes to recharge its battery. It has 74% battery left.,10,38,15,70,60,40,65,5,20,65
An idle robot working in a store goes to recharge its battery. It has 75% battery left.,20,30,10,85,60,25,30,10,10,40
An idle robot working in a store goes to recharge its battery. It has 76% battery left.,20,30,5,75,25,25,75,15,25,55
An idle robot working in a store goes to recharge its battery. It has 77% battery left.,15,35,10,65,80,30,15,0,20,25
An idle robot working in a store goes to recharge its battery. It has 78% battery left.,5,15,5,50,65,30,25,10,20,30
An idle robot working in a store goes to recharge its battery. It has 79% battery left.,25,30,5,60,70,55,70,20,40,45
An idle robot working in a store goes to recharge its battery. It has 8% battery left.,40,80,15,15,60,35,60,20,15,60
An idle robot working in a store goes to recharge its battery. It has 80% battery left.,25,25,15,35,60,20,70,0,10,25
An idle robot working in a store goes to recharge its battery. It has 81% battery left.,15,40,5,65,70,45,20,10,20,15
An idle robot working in a store goes to recharge its battery. It has 82% battery left.,22,25,5,70,75,25,35,20,15,35
An idle robot working in a store goes to recharge its battery. It has 83% battery left.,15,25,5,45,65,45,15,8,25,25
An idle robot working in a store goes to recharge its battery. It has 84% battery left.,20,20,10,50,60,25,70,15,15,45
An idle robot working in a store goes to recharge its battery. It has 85% battery left.,15,40,15,70,75,25,20,5,5,55
An idle robot working in a store goes to recharge its battery. It has 86% battery left.,15,30,5,75,70,20,65,5,5,30
An idle robot working in a store goes to recharge its battery. It has 87% battery left.,5,35,5,75,65,20,30,15,15,15
An idle robot working in a store goes to recharge its battery. It has 88% battery left.,8,20,5,63,65,15,15,0,45,30
An idle robot working in a store goes to recharge its battery. It has 89% battery left.,10,20,5,65,60,25,85,5,10,30
An idle robot working in a store goes to recharge its battery. It has 9% battery left.,70,85,20,65,30,70,30,35,65,75
An idle robot working in a store goes to recharge its battery. It has 90% battery left.,5,15,5,80,70,30,65,20,10,30
An idle robot working in a store goes to recharge its battery. It has 91% battery left.,10,20,5,70,72,20,65,15,20,70
An idle robot working in a store goes to recharge its battery. It has 92% battery left.,30,20,5,70,70,30,35,15,5,40
An idle robot working in a store goes to recharge its battery. It has 93% battery left.,10,10,1,70,70,20,70,5,5,45
An idle robot working in a store goes to recharge its battery. It has 94% battery left.,10,15,10,65,40,15,30,10,10,30
An idle robot working in a warehouse explores its environment.,15,40,15,75,65,30,20,15,15,65
An idle robot working in a warehouse goes to recharge its battery. It has 0% battery left.,95,100,35,30,20,45,80,60,70,90
An idle robot working in a warehouse goes to recharge its battery. It has 1% battery left.,85,95,15,30,80,75,20,40,85,75
An idle robot working in a warehouse goes to recharge its battery. It has 10% battery left.,80,85,15,65,30,35,35,25,75,70
An idle robot working in a warehouse goes to recharge its battery. It has 11% battery left.,40,70,15,40,45,70,20,25,35,40
An idle robot working in a warehouse goes to recharge its battery. It has 12% battery left.,42,75,15,25,35,15,20,30,20,60
An idle robot working in a warehouse goes to recharge its battery. It has 13% battery left.,80,55,5,40,35,30,25,30,40,75
An idle robot working in a warehouse goes to recharge its battery. It has 14% battery left.,72,75,10,75,75,30,30,25,45,55
An idle robot working in a warehouse goes to recharge its battery. It has 15% battery left.,30,60,10,80,60,35,20,30,70,60
An idle robot working in a warehouse goes to recharge its battery. It has 16% battery left.,70,82,15,60,20,40,20,15,75,70
An idle robot working in a warehouse goes to recharge its battery. It has 17% battery left.,70,70,15,45,75,45,70,25,20,65
An idle robot working in a warehouse goes to recharge its battery. It has 18% battery left.,75,75,20,70,60,45,25,20,20,62
An idle robot working in a warehouse goes to recharge its battery. It has 19% battery left.,65,30,15,75,30,60,40,15,15,55
An idle robot working in a warehouse goes to recharge its battery. It has 2% battery left.,95,95,40,75,90,85,85,75,90,75
An idle robot working in a warehouse goes to recharge its battery. It has 20% battery left.,65,70,5,30,40,40,30,15,60,65
An idle robot working in a warehouse goes to recharge its battery. It has 21% battery left.,65,80,20,35,35,40,25,30,15,60
An idle robot working in a warehouse goes to recharge its battery. It has 22% battery left.,40,75,15,75,60,30,80,10,20,40
An idle robot working in a warehouse goes to recharge its battery. It has 23% battery left.,15,55,25,70,70,45,30,15,30,40
An idle robot working in a warehouse goes to recharge its battery. It has 24% battery left.,45,75,10,35,75,50,20,20,20,60
An idle robot working in a warehouse goes to recharge its battery. It has 25% battery left.,40,70,10,40,60,40,70,15,40,40
An idle robot working in a warehouse goes to recharge its battery. It has 26% battery left.,40,65,15,65,70,65,35,40,9,60
An idle robot working in a warehouse goes to recharge its battery. It has 27% battery left.,65,45,15,30,75,55,65,15,25,75
An idle robot working in a warehouse goes to recharge its battery. It has 28% battery left.,40,75,7,35,70,35,55,10,15,40
An idle robot working in a warehouse goes to recharge its battery. It has 29% battery left.,65,65,20,68,65,45,75,15,5,40
An idle robot working in a warehouse goes to recharge its battery. It has 3% battery left.,95,95,20,80,85,70,25,20,70,75
An idle robot working in a warehouse goes to recharge its battery. It has 30% battery left.,40,60,10,70,60,40,20,15,15,60
An idle robot working in a warehouse goes to recharge its battery. It has 31% battery left.,75,70,10,60,60,40,70,30,10,35
An idle robot working in a warehouse goes to recharge its battery. It has 32% battery left.,60,25,5,70,68,45,30,20,15,55
An idle robot working in a warehouse goes to recharge its battery. It has 33% battery left.,20,65,10,65,75,75,20,20,20,35
An idle robot working in a warehouse goes to recharge its battery. It has 34% battery left.,40,30,10,75,65,25,25,20,20,65
An idle robot working in a warehouse goes to recharge its battery. It has 35% battery left.,25,45,15,30,65,40,30,20,25,35
An idle robot working in a warehouse goes to recharge its battery. It has 36% battery left.,35,55,15,55,70,65,20,20,20,70
An idle robot working in a warehouse goes to recharge its battery. It has 37% battery left.,25,65,15,70,60,40,75,20,15,60
An idle robot working in a warehouse goes to recharge its battery. It has 38% battery left.,30,30,8,75,60,40,70,10,20,60
An idle robot working in a warehouse goes to recharge its battery. It has 39% battery left.,30,55,15,60,75,40,30,10,20,65
An idle robot working in a warehouse goes to recharge its battery. It has 4% battery left.,85,95,20,25,45,75,20,15,20,70
An idle robot working in a warehouse goes to recharge its battery. It has 40% battery left.,20,30,10,55,55,30,20,15,20,30
An idle robot working in a warehouse goes to recharge its battery. It has 41% battery left.,35,50,5,75,15,72,25,50,10,30
An idle robot working in a warehouse goes to recharge its battery. It has 42% battery left.,25,30,10,70,75,65,20,5,10,65
An idle robot working in a warehouse goes to recharge its battery. It has 43% battery left.,20,20,5,55,65,25,30,10,12,30
An idle robot working in a warehouse goes to recharge its battery. It has 44% battery left.,25,30,5,60,65,35,70,10,5,65
An idle robot working in a warehouse goes to recharge its battery. It has 45% battery left.,35,65,10,60,50,35,20,20,70,30
An idle robot working in a warehouse goes to recharge its battery. It has 46% battery left.,15,30,10,60,65,65,20,25,20,35
An idle robot working in a warehouse goes to recharge its battery. It has 47% battery left.,30,25,15,80,70,35,25,20,5,30
An idle robot working in a warehouse goes to recharge its battery. It has 48% battery left.,30,30,10,70,75,65,75,10,35,70
An idle robot working in a warehouse goes to recharge its battery. It has 49% battery left.,15,25,10,50,65,60,35,20,15,40
An idle robot working in a warehouse goes to recharge its battery. It has 5% battery left.,85,95,25,55,80,65,25,25,70,80
An idle robot working in a warehouse goes to recharge its battery. It has 50% battery left.,30,30,5,25,65,60,70,10,15,30
An idle robot working in a warehouse goes to recharge its battery. It has 51% battery left.,20,30,5,60,65,30,30,20,15,70
An idle robot working in a warehouse goes to recharge its battery. It has 52% battery left.,35,20,15,60,65,40,25,5,20,35
An idle robot working in a warehouse goes to recharge its battery. It has 53% battery left.,25,30,8,30,75,25,30,10,10,28
An idle robot working in a warehouse goes to recharge its battery. It has 54% battery left.,20,30,5,40,72,23,20,20,15,40
An idle robot working in a warehouse goes to recharge its battery. It has 55% battery left.,20,15,5,65,70,15,70,15,10,30
An idle robot working in a warehouse goes to recharge its battery. It has 56% battery left.,35,65,10,80,70,35,30,15,20,30
An idle robot working in a warehouse goes to recharge its battery. It has 57% battery left.,20,30,10,70,70,60,40,20,20,25
An idle robot working in a warehouse goes to recharge its battery. It has 58% battery left.,23,35,10,40,65,60,80,15,20,40
An idle robot working in a warehouse goes to recharge its battery. It has 59% battery left.,15,35,5,70,65,35,75,10,10,35
An idle robot working in a warehouse goes to recharge its battery. It has 6% battery left.,75,85,25,70,20,65,30,40,10,75
An idle robot working in a warehouse goes to recharge its battery. It has 60% battery left.,20,15,10,75,60,45,80,10,10,40
An idle robot working in a warehouse goes to recharge its battery. It has 61% battery left.,20,20,10,80,46,38,35,18,15,65
An idle robot working in a warehouse goes to recharge its battery. It has 62% battery left.,35,30,5,82,75,25,30,10,15,40
An idle robot working in a warehouse goes to recharge its battery. It has 63% battery left.,30,25,15,65,70,40,30,0,20,35
An idle robot working in a warehouse goes to recharge its battery. It has 64% battery left.,10,20,10,25,60,45,15,15,15,45
An idle robot working in a warehouse goes to recharge its battery. It has 65% battery left.,15,40,15,45,70,30,40,5,5,20
An idle robot working in a warehouse goes to recharge its battery. It has 66% battery left.,20,20,15,65,45,25,75,10,20,30
An idle robot working in a warehouse goes to recharge its battery. It has 67% battery left.,15,30,15,45,75,20,75,10,35,35
An idle robot working in a warehouse goes to recharge its battery. It has 68% battery left.,20,35,5,70,35,40,30,5,15,35
An idle robot working in a warehouse goes to recharge its battery. It has 69% battery left.,25,20,15,70,55,45,20,5,15,20
An idle robot working in a warehouse goes to recharge its battery. It has 7% battery left.,85,90,15,70,75,85,75,20,35,75
An idle robot working in a warehouse goes to recharge its battery. It has 70% battery left.,15,40,10,5,65,20,40,10,20,40
An idle robot working in a warehouse goes to recharge its battery. It has 71% battery left.,20,40,15,75,42,65,65,10,15,40
An idle robot working in a warehouse goes to recharge its battery. It has 72% battery left.,10,20,5,55,65,43,35,10,15,40
An idle robot working in a warehouse goes to recharge its battery. It has 73% battery left.,25,60,5,30,70,35,35,0,22,65
An idle robot working in a warehouse goes to recharge its battery. It has 74% battery left.,25,25,5,45,58,45,20,5,15,45
An idle robot working in a warehouse goes to recharge its battery. It has 75% battery left.,20,15,5,70,65,50,40,5,30,15
An idle robot working in a warehouse goes to recharge its battery. It has 76% battery left.,10,20,5,80,55,30,75,20,20,45
An idle robot working in a warehouse goes to recharge its battery. It has 77% battery left.,5,30,5,60,35,25,65,10,10,70
An idle robot working in a warehouse goes to recharge its battery. It has 78% battery left.,20,45,5,80,30,20,65,5,5,70
An idle robot working in a warehouse goes to recharge its battery. It has 79% battery left.,15,25,10,70,75,25,40,10,15,55
